client_id	path	sentence	up_votes	down_votes	age	gender	accent
0ac656a43105e06563658705636531f8d7203a2e22eaa17156a325801491622a8ecd1fc5b2e9ac3c068e452a28c94f837361bcb9411581f00e0302a5ea15999a	554640d61e3c2021d26a3c212fa234f8362b56c43da524faac703a346c643f79501a0b091f56a123cc6f03590051af3056428e421a96f37c221b27919d7d9630	La teoria della tettonica delle placche fu accettata solo 30 anni fa.	0	2	thirties	female	
b40044f1bc342f554f052b3b272531e6c07b0f043b847d3a20439da93cf09a0e3b04c55fffe7f2988a003249affcb149be955a17157dfe84df4a9b71326d4f5f	382c622c1e5ee5216dd3ac5d19908050e63e39b3d2800ed9de7dc8d886af8cc28743a9525e6be46b98964cef5cbcd9ef7dbb6dd52117e269b3a653d9350a474b	"Fare il becco all'oca e le corna al potestà."	0	2			
b40044f1bc342f554f052b3b272531e6c07b0f043b847d3a20439da93cf09a0e3b04c55fffe7f2988a003249affcb149be955a17157dfe84df4a9b71326d4f5f	7417f09bd97eb709191f368647dca52dcad0b48720b1c4f45d61f376c82b5147974b828a6538e407987bb62050748523a28beb5ae4effeb172193398e9ad8231	La si può differenziare in 2 fasi, che saranno esattamente opposte a quelle del dorso.	0	2			
b40044f1bc342f554f052b3b272531e6c07b0f043b847d3a20439da93cf09a0e3b04c55fffe7f2988a003249affcb149be955a17157dfe84df4a9b71326d4f5f	fe9b6dc11a9f8bd4834052f2b8a3cd8e059b0658f603e8194bab967194cb43383519347cee09c6fc4ff4a5b9caf34e0926c9f2e6d7cad24281d037c89874db47	La vecchia impara fino a 100 anni.	0	2			
0ac656a43105e06563658705636531f8d7203a2e22eaa17156a325801491622a8ecd1fc5b2e9ac3c068e452a28c94f837361bcb9411581f00e0302a5ea15999a	bcc135ea63a58c18aa69d90436105c3af06cf1711cb2f786640b9e28fc2631882b633f0e6ce8d032d44dff97c301ac1f471f0b018c56a87bf211caeba136477a	trovandosi ancora al sicuro tra le montagne, questo non scarseggiava e non c’era bisogno di razionare i pasti.	0	2	thirties	female	
0ac656a43105e06563658705636531f8d7203a2e22eaa17156a325801491622a8ecd1fc5b2e9ac3c068e452a28c94f837361bcb9411581f00e0302a5ea15999a	b1ad36496ca2eaa9d2a6e9098605b3df7bb90950d81f8e9ec76ca0684ee1e5a7dd02dda078b8d40767f53bd85cd2e6a5a615ae2bd89e4f97e6f34e8f59117d64	Il presente servizio è volto a consentire agli esercenti commerciali, di incassare i buoni connessi all’utilizzo del bonus del valore di 500€.	0	2	thirties	female	
5795b8a3cfb4db3095158ee4fc333a2073d8ce2e0177e53ad8498f80912df647b159345e28a0286ce3c78c8ad9b96da2a3f092ed1251edc683c845201fd89526	4fe25efee7f58e7656537f524509fd1c79ca52517671ca59c9c0422f86962ed452831dc90f0f3c77c1de9ff535aa733a6153827a8342d41eb1bf100ae454a32d	Finalmente, alle sei del mattino, di quel memorabile 19 marzo, si aprì la porta della sala e apparve il capitano Nemo.	0	2	twenties	male	
a60762f9341e71b440bc804565ca69c3681c2fba5f608b24c103d86ffc728d61598fc58f19fe15f0b7322d1abefe6439036207fb6827d89d10b3564b33b460b5	55f3ec8bea674a6aa718f18bb3c9d131c3b6754148ec74c92deae10a8116da716ad0c60bbab632d71828bcf365b4d137f00e78c4519f0c649815aaeb12670f0e	Conoscere altre persone che hanno passioni simili alle mie, che portano avanti degli obiettivi attraverso delle community e sono pronte a condividere le loro esperienze con gli altri in maniera spontanea, inclusiva, libera e aperta è per me veramente fantastico.	0	2			
a60762f9341e71b440bc804565ca69c3681c2fba5f608b24c103d86ffc728d61598fc58f19fe15f0b7322d1abefe6439036207fb6827d89d10b3564b33b460b5	d895fbd35815b360882fb48eb4d478336a979228137bb131269ef993dd6dad2d57da21829974bbd0371116a787b4ed1bee9f6b2fb7a140c10fc0aa530ce06f02	Sebbene molte biblioteche tedesche avessero familiarizzato con il tema del libero accesso già da tempo, poche di esse avevano poi in concreto utilizzato una simile forma di pubblicazione per i propri contenuti.	0	2			
a60762f9341e71b440bc804565ca69c3681c2fba5f608b24c103d86ffc728d61598fc58f19fe15f0b7322d1abefe6439036207fb6827d89d10b3564b33b460b5	a5b57ecbcc94c4b55573b13f794393f04aa9249e838c22b77cb2abd04a5c7ba7ab592c4963f0a9d6f3bd6aeae6fa16b92126f4a1d1d911051c46535861bacb69	Tildor ascoltò con pazienza le lamentele, poi infilò nelle mani dell’oste cinque monete d’oro e quello si azzittì subito, ringraziando e facendo un goffo inchino: era di certo più oro di quanto ne avesse mai visto in vita sua.	0	2			
a60762f9341e71b440bc804565ca69c3681c2fba5f608b24c103d86ffc728d61598fc58f19fe15f0b7322d1abefe6439036207fb6827d89d10b3564b33b460b5	c708d16dd1be8bcc323a55d82a1154afab73489c9f63a9ade76ee7c954c160d805a8757a30e831b3ffc6f9e8b27bccc8b5354349ef7fee1e047572d5f841b3f0	"Ma poiché il progresso delle discipline storiche, che ha fatto grandi passi nel nostro tempo, ha mostrato la necessità di arricchire la competente Commissione di uno strumento di lavoro più adeguato, per rispondere meglio ai postulati dell'arte critica"	0	2			
5795b8a3cfb4db3095158ee4fc333a2073d8ce2e0177e53ad8498f80912df647b159345e28a0286ce3c78c8ad9b96da2a3f092ed1251edc683c845201fd89526	c17462296b1b6656f1a5a2cb06cbf4d5632d1af2eb8b4ca836a2ebd757d2872badc70ebb2bf990a3c3db76c38e4d037b5b6cf909742783df3b73d075ca3d2ffa	Questo uccello depone un gruppo di 4-6 uova entrambi i genitori covano.	0	2	twenties	male	
4db29fbc5a87af0abf593dbea38248df332ba2e6fbe4d708cfc012f3cf1e9d983c53e20d699b5f67ad76029687ecce08d46b7ff7d93b1dbec8f503194f07b85b	d907dca57f8a82a1b21c50c389dddb1df18233df5912bc8fdda4df6de703f427e5bb211efccfdc43aaf1b4d32e82bc730a92e977631f09d8fc6f05e3f791a59c	L’emendamento stabilisce che l’Agenzia, oltre alle 30 unità già previste, potrà avvalersi di massimo 100 dipendenti delle pubbliche amministrazioni di cui massimo 15 del personale militare.	0	2	twenties	male	
